item_name (for reference),item_id (replace with UUID after importing items),vendor_name,vendor_contact,purchase_date,inward_quantity,price_per_unit,price_without_gst,gst_percentage,price_with_gst,bill_number,created_by (replace with user UUID)
BASMATHI RICE,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,23.0,109.0,109.0,5.0,114.45,INITIAL-STOCK,REPLACE_WITH_USER_UUID
IDLY RICE,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,27.0,45.0,45.0,5.0,47.25,INITIAL-STOCK,REPLACE_WITH_USER_UUID
PONNI RICE,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,6.0,65.0,65.0,5.0,68.25,INITIAL-STOCK,REPLACE_WITH_USER_UUID
RAW RICE,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,2.0,40.0,40.0,5.0,42.0,INITIAL-STOCK,REPLACE_WITH_USER_UUID
CASHEW NUT BROKEN,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,35.0,650.0,650.0,5.0,682.5,INITIAL-STOCK,REPLACE_WITH_USER_UUID
CASHEW NUT,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,41.0,750.0,750.0,5.0,787.5,INITIAL-STOCK,REPLACE_WITH_USER_UUID
NOODLES,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,8.0,70.0,70.0,5.0,73.5,INITIAL-STOCK,REPLACE_WITH_USER_UUID
PASTA,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,6.0,70.0,70.0,5.0,73.5,INITIAL-STOCK,REPLACE_WITH_USER_UUID
CORN FLAKES,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,1.0,178.0,178.0,5.0,186.9,INITIAL-STOCK,REPLACE_WITH_USER_UUID
BRED CRUMPS,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,3.0,160.0,160.0,5.0,168.0,INITIAL-STOCK,REPLACE_WITH_USER_UUID
BENGAL DAL,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,5.0,92.0,92.0,5.0,96.6,INITIAL-STOCK,REPLACE_WITH_USER_UUID
TOOR DAL,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,19.0,106.0,106.0,5.0,111.3,INITIAL-STOCK,REPLACE_WITH_USER_UUID
URID DAL,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,22.0,105.0,105.0,5.0,110.25,INITIAL-STOCK,REPLACE_WITH_USER_UUID
MOONG DAL,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,2.0,110.0,110.0,5.0,115.5,INITIAL-STOCK,REPLACE_WITH_USER_UUID
PUMKIN SEED,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,2.0,700.0,700.0,5.0,735.0,INITIAL-STOCK,REPLACE_WITH_USER_UUID
WHITE SUNDAL,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,18.0,140.0,140.0,5.0,147.0,INITIAL-STOCK,REPLACE_WITH_USER_UUID
BLACK SUNDAL,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,19.0,82.0,82.0,5.0,86.1,INITIAL-STOCK,REPLACE_WITH_USER_UUID
FRIED GRAM DAL GU,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,46.0,96.0,96.0,5.0,100.8,INITIAL-STOCK,REPLACE_WITH_USER_UUID
EYEBEEN DAL,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,8.0,95.0,95.0,5.0,99.75,INITIAL-STOCK,REPLACE_WITH_USER_UUID
OREGANO SPICE SPRINKLER,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,3.0,160.0,160.0,5.0,168.0,INITIAL-STOCK,REPLACE_WITH_USER_UUID
PERI PERI SPRINKLER,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,2.0,195.0,195.0,5.0,204.75,INITIAL-STOCK,REPLACE_WITH_USER_UUID
APPALAM,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,18.0,38.0,38.0,5.0,39.9,INITIAL-STOCK,REPLACE_WITH_USER_UUID
KASTHURI MATHI,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,16.0,100.0,100.0,5.0,105.0,INITIAL-STOCK,REPLACE_WITH_USER_UUID
COCUNUT OIL,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,5.0,532.0,532.0,5.0,558.6,INITIAL-STOCK,REPLACE_WITH_USER_UUID
SESAMI OIL,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,397.0,357.0,357.0,5.0,374.85,INITIAL-STOCK,REPLACE_WITH_USER_UUID
MUSTARD OIL,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,11.0,190.0,190.0,5.0,199.5,INITIAL-STOCK,REPLACE_WITH_USER_UUID
FRESH CREAM,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,1.0,215.0,215.0,5.0,225.75,INITIAL-STOCK,REPLACE_WITH_USER_UUID
(Armel) GHEE,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,3.0,715.0,715.0,5.0,750.75,INITIAL-STOCK,REPLACE_WITH_USER_UUID
GROUND NUT OIL (300ml),REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,47927.0,63.0,63.0,5.0,66.15,INITIAL-STOCK,REPLACE_WITH_USER_UUID
MR. GOLD OIL 1961,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,39.0,145.0,145.0,5.0,152.25,INITIAL-STOCK,REPLACE_WITH_USER_UUID
LONG PAYASAM SEMIYA,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,18.0,28.0,28.0,5.0,29.4,INITIAL-STOCK,REPLACE_WITH_USER_UUID
SAVORIT SEMIYA,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,18.0,28.0,28.0,5.0,29.4,INITIAL-STOCK,REPLACE_WITH_USER_UUID
NAGA SOOJI,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,7.0,38.0,38.0,5.0,39.9,INITIAL-STOCK,REPLACE_WITH_USER_UUID
JAVARISI,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,9.0,40.0,40.0,5.0,42.0,INITIAL-STOCK,REPLACE_WITH_USER_UUID
SUGAR,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,4.0,45.5,45.5,5.0,47.775,INITIAL-STOCK,REPLACE_WITH_USER_UUID
TEA POWDER,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,11.0,560.0,560.0,5.0,588.0,INITIAL-STOCK,REPLACE_WITH_USER_UUID
MILKY MIST,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,5.0,89.0,89.0,5.0,93.45,INITIAL-STOCK,REPLACE_WITH_USER_UUID
MAWNA SUGAR,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,1.0,121.0,121.0,5.0,127.05,INITIAL-STOCK,REPLACE_WITH_USER_UUID
HONEY,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,3.0,64.0,64.0,5.0,67.2,INITIAL-STOCK,REPLACE_WITH_USER_UUID
JANGRY,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,13921.0,10.0,10.0,5.0,10.5,INITIAL-STOCK,REPLACE_WITH_USER_UUID
MARYGOLD BISCUT,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,5.0,0.0,0.0,5.0,0.0,INITIAL-STOCK,REPLACE_WITH_USER_UUID
OREO BISCUT,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,23.0,0.0,0.0,5.0,0.0,INITIAL-STOCK,REPLACE_WITH_USER_UUID
PEPPER,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,5.0,750.0,750.0,5.0,787.5,INITIAL-STOCK,REPLACE_WITH_USER_UUID
BRIYANI MASALA,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,5.0,220.0,220.0,5.0,231.0,INITIAL-STOCK,REPLACE_WITH_USER_UUID
ТОМАТО КЕТСНЕР,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,9.0,48.0,48.0,5.0,50.4,INITIAL-STOCK,REPLACE_WITH_USER_UUID
BUTTON MASHROOM TIN,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,2.0,144.0,144.0,5.0,151.2,INITIAL-STOCK,REPLACE_WITH_USER_UUID
TOMATO PUREE TIN,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,3.0,70.0,70.0,5.0,73.5,INITIAL-STOCK,REPLACE_WITH_USER_UUID
INSTANT DRY ESSENCE,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,1.0,200.0,200.0,5.0,210.0,INITIAL-STOCK,REPLACE_WITH_USER_UUID
COCO POWDER,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,2.0,355.0,355.0,5.0,372.75,INITIAL-STOCK,REPLACE_WITH_USER_UUID
WAFFY STRAWBERRY,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,1.0,80.0,80.0,5.0,84.0,INITIAL-STOCK,REPLACE_WITH_USER_UUID
THYME,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,2.0,100.0,100.0,5.0,105.0,INITIAL-STOCK,REPLACE_WITH_USER_UUID
GULKANT,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,3.0,80.0,80.0,5.0,84.0,INITIAL-STOCK,REPLACE_WITH_USER_UUID
LEMON SALT,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,1.0,31.0,31.0,5.0,32.55,INITIAL-STOCK,REPLACE_WITH_USER_UUID
DARK CHOCOLATE,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,1.0,520.0,520.0,5.0,546.0,INITIAL-STOCK,REPLACE_WITH_USER_UUID
DRY GRAPES,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,1.0,260.0,260.0,5.0,273.0,INITIAL-STOCK,REPLACE_WITH_USER_UUID
BADAM,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,400.0,730.0,730.0,5.0,766.5,INITIAL-STOCK,REPLACE_WITH_USER_UUID
GELITINE,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,2.0,115.0,115.0,5.0,120.75,INITIAL-STOCK,REPLACE_WITH_USER_UUID
SOMBU,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,2.0,180.0,180.0,5.0,189.0,INITIAL-STOCK,REPLACE_WITH_USER_UUID
AROMAT POWDER,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,23.0,33.0,33.0,5.0,34.65,INITIAL-STOCK,REPLACE_WITH_USER_UUID
JELAPINO SLICE,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,1.0,230.0,230.0,5.0,241.5,INITIAL-STOCK,REPLACE_WITH_USER_UUID
OYSTER SAUCE,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,1.0,200.0,200.0,5.0,210.0,INITIAL-STOCK,REPLACE_WITH_USER_UUID
BORBIQUE SAUCE,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,1.0,208.0,208.0,5.0,218.4,INITIAL-STOCK,REPLACE_WITH_USER_UUID
MASDARD SAUCE,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,1.0,200.0,200.0,5.0,210.0,INITIAL-STOCK,REPLACE_WITH_USER_UUID
CHILLI SWEET SACE,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,3.0,220.0,220.0,5.0,231.0,INITIAL-STOCK,REPLACE_WITH_USER_UUID
DARK SOYA SAUSE,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,3.0,65.0,65.0,5.0,68.25,INITIAL-STOCK,REPLACE_WITH_USER_UUID
HOIXIN SAUCE,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,1.0,200.0,200.0,5.0,210.0,INITIAL-STOCK,REPLACE_WITH_USER_UUID
THANIYA,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,20.0,106.0,106.0,5.0,111.3,INITIAL-STOCK,REPLACE_WITH_USER_UUID
DRY CHILLI,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,40947.0,160.0,160.0,5.0,168.0,INITIAL-STOCK,REPLACE_WITH_USER_UUID
K.DRY CHILLI,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,28947.0,160.0,160.0,5.0,168.0,INITIAL-STOCK,REPLACE_WITH_USER_UUID
BLUE BERRY CRUSH,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,1.0,310.0,310.0,5.0,325.5,INITIAL-STOCK,REPLACE_WITH_USER_UUID
STRAWBERRY CRUSH,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,2.0,180.0,180.0,5.0,189.0,INITIAL-STOCK,REPLACE_WITH_USER_UUID
BUTTER SCTRATCH CRUSH,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,2.0,166.0,166.0,5.0,174.3,INITIAL-STOCK,REPLACE_WITH_USER_UUID
TENDER COCUNUT,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,1.0,330.0,330.0,5.0,346.5,INITIAL-STOCK,REPLACE_WITH_USER_UUID
BLUEBERRY CARCO,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,4.0,280.0,280.0,5.0,294.0,INITIAL-STOCK,REPLACE_WITH_USER_UUID
ΜΟΝΙΝ ΜOJITO,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,1.0,820.0,820.0,5.0,861.0,INITIAL-STOCK,REPLACE_WITH_USER_UUID
VENIGAR,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,3.0,29.0,29.0,5.0,30.45,INITIAL-STOCK,REPLACE_WITH_USER_UUID
ROSE WATER SMALL,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,1.0,50.0,50.0,5.0,52.5,INITIAL-STOCK,REPLACE_WITH_USER_UUID
ROSE WATER BIG,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,4.0,100.0,100.0,5.0,105.0,INITIAL-STOCK,REPLACE_WITH_USER_UUID
KIWERA,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,3.0,80.0,80.0,5.0,84.0,INITIAL-STOCK,REPLACE_WITH_USER_UUID
TIGER BADAM MIX,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,1.0,48.0,48.0,5.0,50.4,INITIAL-STOCK,REPLACE_WITH_USER_UUID
TIGER PISTA MIX,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,1.0,48.0,48.0,5.0,50.4,INITIAL-STOCK,REPLACE_WITH_USER_UUID
CARDAMOM ESSENCE,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,2.0,60.0,60.0,5.0,63.0,INITIAL-STOCK,REPLACE_WITH_USER_UUID
ROSE MILK,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,3.0,52.0,52.0,5.0,54.6,INITIAL-STOCK,REPLACE_WITH_USER_UUID
YELLOW CANEL COW,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,1.0,120.0,120.0,5.0,126.0,INITIAL-STOCK,REPLACE_WITH_USER_UUID
SUPER RED,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,1.0,100.0,100.0,5.0,105.0,INITIAL-STOCK,REPLACE_WITH_USER_UUID
CHOCOLATE SYRUP,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,4.0,225.0,225.0,5.0,236.25,INITIAL-STOCK,REPLACE_WITH_USER_UUID
STRAWBERRY SYRUP BIG,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,3.0,225.0,225.0,5.0,236.25,INITIAL-STOCK,REPLACE_WITH_USER_UUID
CARAMEL SYRUP,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,1.0,230.0,230.0,5.0,241.5,INITIAL-STOCK,REPLACE_WITH_USER_UUID
BIG GARLIC,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,5.0,120.0,120.0,5.0,126.0,INITIAL-STOCK,REPLACE_WITH_USER_UUID
COCONUT,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,32.0,30.0,30.0,5.0,31.5,INITIAL-STOCK,REPLACE_WITH_USER_UUID
SMALL GARLIC,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,3.0,80.0,80.0,5.0,84.0,INITIAL-STOCK,REPLACE_WITH_USER_UUID
CORN FLOUR,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,7.0,70.0,70.0,5.0,73.5,INITIAL-STOCK,REPLACE_WITH_USER_UUID
BASAN FLOUR,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,2.0,58.0,58.0,5.0,60.9,INITIAL-STOCK,REPLACE_WITH_USER_UUID
RICE FLOUR,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,3.0,50.0,50.0,5.0,52.5,INITIAL-STOCK,REPLACE_WITH_USER_UUID
WATER BOTTLE,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,6.0,144.0,144.0,5.0,151.2,INITIAL-STOCK,REPLACE_WITH_USER_UUID
