name,category_name (for reference),category_id (replace with UUID after importing categories),rack_name (for reference),rack_id (replace with UUID after importing racks),godown_id (replace with UUID),unit_of_measure,minimum_stock_level,is_active
ASAFOETIDA POWDER 50G,Spices & Seasonings,REPLACE_WITH_CATEGORY_UUID,Rack-1,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,pcs,5.0,true
MR.KING MASALA,Spices & Seasonings,REPLACE_WITH_CATEGORY_UUID,Rack-1,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,kg,5.0,true
DEGGI MIRCHI,Spices & Seasonings,REPLACE_WITH_CATEGORY_UUID,Rack-1,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,kg,5.0,true
SEERAGA SAMBA RICE,Rice & Grains,REPLACE_WITH_CATEGORY_UUID,Rack-2,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,kg,20.0,true
BASMATHI RICE,Rice & Grains,REPLACE_WITH_CATEGORY_UUID,Rack-2,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,kg,20.0,true
IDLY RICE,Rice & Grains,REPLACE_WITH_CATEGORY_UUID,Rack-2,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,kg,15.0,true
PONNI RICE,Rice & Grains,REPLACE_WITH_CATEGORY_UUID,Rack-2,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,kg,15.0,true
RAW RICE,Rice & Grains,REPLACE_WITH_CATEGORY_UUID,Rack-2,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,kg,15.0,true
CASHEW NUT BROKEN,Dry Fruits & Nuts,REPLACE_WITH_CATEGORY_UUID,Rack-2,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,kg,3.0,true
CASHEW NUT,Dry Fruits & Nuts,REPLACE_WITH_CATEGORY_UUID,Rack-2,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,kg,3.0,true
NOODLES,Pasta & Noodles,REPLACE_WITH_CATEGORY_UUID,Rack-2,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,pcs,10.0,true
PASTA,Pasta & Noodles,REPLACE_WITH_CATEGORY_UUID,Rack-2,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,pcs,10.0,true
CORN FLAKES,Breakfast Cereals,REPLACE_WITH_CATEGORY_UUID,Rack-2,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,pcs,5.0,true
BRED CRUMPS,Bakery Items,REPLACE_WITH_CATEGORY_UUID,Rack-2,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,pcs,5.0,true
BENGAL DAL,Pulses & Lentils,REPLACE_WITH_CATEGORY_UUID,Rack-3,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,kg,10.0,true
TOOR DAL,Pulses & Lentils,REPLACE_WITH_CATEGORY_UUID,Rack-3,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,kg,10.0,true
URID DAL,Pulses & Lentils,REPLACE_WITH_CATEGORY_UUID,Rack-3,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,kg,10.0,true
MOONG DAL,Pulses & Lentils,REPLACE_WITH_CATEGORY_UUID,Rack-3,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,kg,10.0,true
PUMKIN SEED,Seeds & Specialty,REPLACE_WITH_CATEGORY_UUID,Rack-3,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,kg,1.0,true
WHITE SUNDAL,Pulses & Lentils,REPLACE_WITH_CATEGORY_UUID,Rack-3,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,kg,5.0,true
BLACK SUNDAL,Pulses & Lentils,REPLACE_WITH_CATEGORY_UUID,Rack-3,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,kg,5.0,true
FRIED GRAM DAL GU,Pulses & Lentils,REPLACE_WITH_CATEGORY_UUID,Rack-3,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,kg,5.0,true
MOSOOR DAL,Pulses & Lentils,REPLACE_WITH_CATEGORY_UUID,Rack-3,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,kg,5.0,true
GREEN PEAS,Pulses & Lentils,REPLACE_WITH_CATEGORY_UUID,Rack-3,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,kg,5.0,true
GREEN DAL,Pulses & Lentils,REPLACE_WITH_CATEGORY_UUID,Rack-3,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,kg,5.0,true
FRED BEANUT,Pulses & Lentils,REPLACE_WITH_CATEGORY_UUID,Rack-3,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,kg,5.0,true
EYEBEEN DAL,Pulses & Lentils,REPLACE_WITH_CATEGORY_UUID,Rack-3,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,kg,5.0,true
OREGANO SPICE SPRINKLER,Spices & Seasonings,REPLACE_WITH_CATEGORY_UUID,Rack-3,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,pcs,3.0,true
ORGANO LIME SEASONING,Spices & Seasonings,REPLACE_WITH_CATEGORY_UUID,Rack-3,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,pcs,3.0,true
CHILLI GARLIC SPRINKLER,Spices & Seasonings,REPLACE_WITH_CATEGORY_UUID,Rack-3,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,pcs,3.0,true
PERI PERI SPRINKLER,Spices & Seasonings,REPLACE_WITH_CATEGORY_UUID,Rack-3,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,pcs,3.0,true
APPALAM,Ready-to-Cook,REPLACE_WITH_CATEGORY_UUID,Rack-3,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,pcs,10.0,true
FRYAMS,Ready-to-Cook,REPLACE_WITH_CATEGORY_UUID,Rack-3,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,pcs,5.0,true
KASTHURI MATHI,Ready-to-Cook,REPLACE_WITH_CATEGORY_UUID,Rack-3,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,pcs,5.0,true
COCUNUT OIL,Oils & Fats,REPLACE_WITH_CATEGORY_UUID,Rack-4,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,ltr,5.0,true
SESAMI OIL,Oils & Fats,REPLACE_WITH_CATEGORY_UUID,Rack-4,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,ltr,5.0,true
MUSTARD OIL,Oils & Fats,REPLACE_WITH_CATEGORY_UUID,Rack-4,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,ltr,3.0,true
OLIVE,Oils & Fats,REPLACE_WITH_CATEGORY_UUID,Rack-4,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,ltr,2.0,true
PICKEL,Pickles & Preserves,REPLACE_WITH_CATEGORY_UUID,Rack-4,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,pcs,5.0,true
FRESH CREAM,Dairy Products,REPLACE_WITH_CATEGORY_UUID,Rack-4,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,pcs,3.0,true
(Armel) GHEE,Oils & Fats,REPLACE_WITH_CATEGORY_UUID,Rack-4,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,kg,3.0,true
GROUND NUT OIL (300ml),Oils & Fats,REPLACE_WITH_CATEGORY_UUID,Rack-4,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,pcs,20.0,true
MR. GOLD OIL 1961,Oils & Fats,REPLACE_WITH_CATEGORY_UUID,Rack-4,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,pcs,10.0,true
LONG PAYASAM SEMIYA,Pasta & Noodles,REPLACE_WITH_CATEGORY_UUID,Rack-4,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,pcs,10.0,true
RICE VERMICELLI,Pasta & Noodles,REPLACE_WITH_CATEGORY_UUID,Rack-4,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,pcs,5.0,true
DOUBLE TIGER VERMICELLI,Pasta & Noodles,REPLACE_WITH_CATEGORY_UUID,Rack-4,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,pcs,5.0,true
SAVORIT SEMIYA,Pasta & Noodles,REPLACE_WITH_CATEGORY_UUID,Rack-4,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,pcs,10.0,true
NAGA SOOJI,Flour & Semolina,REPLACE_WITH_CATEGORY_UUID,Rack-4,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,pcs,5.0,true
JAVARISI,Rice & Grains,REPLACE_WITH_CATEGORY_UUID,Rack-4,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,pcs,5.0,true
SUGAR,Sugar & Sweeteners,REPLACE_WITH_CATEGORY_UUID,Rack-5,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,kg,20.0,true
TEA POWDER,Beverages,REPLACE_WITH_CATEGORY_UUID,Rack-5,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,kg,5.0,true
MILKY MIST,Dairy Products,REPLACE_WITH_CATEGORY_UUID,Rack-5,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,pcs,5.0,true
BROWN SUGAR,Sugar & Sweeteners,REPLACE_WITH_CATEGORY_UUID,Rack-5,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,kg,5.0,true
MAWNA SUGAR,Sugar & Sweeteners,REPLACE_WITH_CATEGORY_UUID,Rack-5,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,pcs,3.0,true
MILK MAD,Dairy Products,REPLACE_WITH_CATEGORY_UUID,Rack-5,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,pcs,3.0,true
HONEY,Sugar & Sweeteners,REPLACE_WITH_CATEGORY_UUID,Rack-5,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,pcs,3.0,true
JANGRY,Beverages,REPLACE_WITH_CATEGORY_UUID,Rack-5,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,kg,5.0,true
MARYGOLD BISCUT,Biscuits & Snacks,REPLACE_WITH_CATEGORY_UUID,Rack-5,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,pcs,10.0,true
OREO BISCUT,Biscuits & Snacks,REPLACE_WITH_CATEGORY_UUID,Rack-5,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,pcs,5.0,true
JEERA,Spices & Seasonings,REPLACE_WITH_CATEGORY_UUID,Rack-5,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,kg,3.0,true
PEPPER,Spices & Seasonings,REPLACE_WITH_CATEGORY_UUID,Rack-5,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,kg,2.0,true
FENUGREEK SEEDS,Spices & Seasonings,REPLACE_WITH_CATEGORY_UUID,Rack-5,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,kg,2.0,true
MUSTARD,Spices & Seasonings,REPLACE_WITH_CATEGORY_UUID,Rack-5,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,kg,2.0,true
BRIYANI MASALA,Spices & Seasonings,REPLACE_WITH_CATEGORY_UUID,Rack-5,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,pcs,5.0,true
BAY LEAF,Spices & Seasonings,REPLACE_WITH_CATEGORY_UUID,Rack-5,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,kg,1.0,true
CHINNAMON,Spices & Seasonings,REPLACE_WITH_CATEGORY_UUID,Rack-5,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,kg,1.0,true
ТОМАТО КЕТСНЕР,Sauces & Condiments,REPLACE_WITH_CATEGORY_UUID,Rack-6,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,pcs,5.0,true
MAYONESS,Sauces & Condiments,REPLACE_WITH_CATEGORY_UUID,Rack-6,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,pcs,3.0,true
WATER CASHEW NUT TIN,Canned & Preserved,REPLACE_WITH_CATEGORY_UUID,Rack-6,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,pcs,3.0,true
BUTTON MASHROOM TIN,Canned & Preserved,REPLACE_WITH_CATEGORY_UUID,Rack-6,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,pcs,5.0,true
TOMATO PUREE TIN,Canned & Preserved,REPLACE_WITH_CATEGORY_UUID,Rack-6,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,pcs,10.0,true
INSTANT DRY ESSENCE,Baking & Dessert,REPLACE_WITH_CATEGORY_UUID,Rack-6,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,pcs,2.0,true
COCO POWDER,Baking & Dessert,REPLACE_WITH_CATEGORY_UUID,Rack-6,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,pcs,3.0,true
WAFFY STRAWBERRY,Baking & Dessert,REPLACE_WITH_CATEGORY_UUID,Rack-6,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,pcs,2.0,true
THYME,Spices & Seasonings,REPLACE_WITH_CATEGORY_UUID,Rack-6,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,pcs,2.0,true
GULKANT,Spices & Seasonings,REPLACE_WITH_CATEGORY_UUID,Rack-6,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,pcs,2.0,true
LEMON SALT,Spices & Seasonings,REPLACE_WITH_CATEGORY_UUID,Rack-6,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,pcs,3.0,true
DYMAND DATES,Dry Fruits & Nuts,REPLACE_WITH_CATEGORY_UUID,Rack-6,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,pcs,3.0,true
BUBBLE TEA,Beverages,REPLACE_WITH_CATEGORY_UUID,Rack-6,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,pcs,2.0,true
COMPOND STRAWBERRY,Baking & Dessert,REPLACE_WITH_CATEGORY_UUID,Rack-6,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,pcs,2.0,true
COMPOND WHITE,Baking & Dessert,REPLACE_WITH_CATEGORY_UUID,Rack-6,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,pcs,2.0,true
DARK CHOCOLATE,Baking & Dessert,REPLACE_WITH_CATEGORY_UUID,Rack-6,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,pcs,2.0,true
DRY GRAPES,Dry Fruits & Nuts,REPLACE_WITH_CATEGORY_UUID,Rack-6,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,kg,3.0,true
PISTA,Dry Fruits & Nuts,REPLACE_WITH_CATEGORY_UUID,Rack-6,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,kg,2.0,true
BADAM,Dry Fruits & Nuts,REPLACE_WITH_CATEGORY_UUID,Rack-6,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,kg,3.0,true
SABJA SEED,Seeds & Specialty,REPLACE_WITH_CATEGORY_UUID,Rack-6,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,pcs,2.0,true
WALL NUT,Dry Fruits & Nuts,REPLACE_WITH_CATEGORY_UUID,Rack-6,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,kg,2.0,true
TUTTY FRUTTI,Baking & Dessert,REPLACE_WITH_CATEGORY_UUID,Rack-6,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,pcs,3.0,true
GELITINE,Baking & Dessert,REPLACE_WITH_CATEGORY_UUID,Rack-6,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,pcs,3.0,true
SOMBU,Spices & Seasonings,REPLACE_WITH_CATEGORY_UUID,Rack-6,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,kg,2.0,true
AROMAT POWDER,Spices & Seasonings,REPLACE_WITH_CATEGORY_UUID,Rack-6,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,pcs,5.0,true
OMAM,Spices & Seasonings,REPLACE_WITH_CATEGORY_UUID,Rack-6,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,kg,1.0,true
PEPPER POWDER,Spices & Seasonings,REPLACE_WITH_CATEGORY_UUID,Rack-6,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,kg,2.0,true
COCONUT POWDER,Coconut Products,REPLACE_WITH_CATEGORY_UUID,Rack-6,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,pcs,5.0,true
SURUL ΠΑΤΤΑΙ,Spices & Seasonings,REPLACE_WITH_CATEGORY_UUID,Rack-6,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,kg,1.0,true
KALPASI,Spices & Seasonings,REPLACE_WITH_CATEGORY_UUID,Rack-6,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,kg,1.0,true
LAVANGAM,Spices & Seasonings,REPLACE_WITH_CATEGORY_UUID,Rack-6,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,kg,1.0,true
STAR ANIS,Spices & Seasonings,REPLACE_WITH_CATEGORY_UUID,Rack-6,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,kg,1.0,true
BLACK CORDAMAM,Spices & Seasonings,REPLACE_WITH_CATEGORY_UUID,Rack-6,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,kg,1.0,true
CORDAMAM,Spices & Seasonings,REPLACE_WITH_CATEGORY_UUID,Rack-6,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,kg,1.0,true
JATHI POO,Spices & Seasonings,REPLACE_WITH_CATEGORY_UUID,Rack-6,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,kg,1.0,true
JATHI KAI,Spices & Seasonings,REPLACE_WITH_CATEGORY_UUID,Rack-6,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,kg,1.0,true
BLACK OLIVE SLICE,Canned & Preserved,REPLACE_WITH_CATEGORY_UUID,Rack-7,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,pcs,3.0,true
JELAPINO SLICE,Canned & Preserved,REPLACE_WITH_CATEGORY_UUID,Rack-7,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,pcs,2.0,true
OYSTER SAUCE,Sauces & Condiments,REPLACE_WITH_CATEGORY_UUID,Rack-7,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,pcs,3.0,true
BORBIQUE SAUCE,Sauces & Condiments,REPLACE_WITH_CATEGORY_UUID,Rack-7,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,pcs,2.0,true
MASDARD SAUCE,Sauces & Condiments,REPLACE_WITH_CATEGORY_UUID,Rack-7,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,pcs,2.0,true
CHILLI SWEET SACE,Sauces & Condiments,REPLACE_WITH_CATEGORY_UUID,Rack-7,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,pcs,3.0,true
DARK SOYA SAUSE,Sauces & Condiments,REPLACE_WITH_CATEGORY_UUID,Rack-7,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,pcs,5.0,true
HOIXIN SAUCE,Sauces & Condiments,REPLACE_WITH_CATEGORY_UUID,Rack-7,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,pcs,2.0,true
THANIYA,Sauces & Condiments,REPLACE_WITH_CATEGORY_UUID,Rack-7,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,pcs,5.0,true
TAMRIN,Spices & Seasonings,REPLACE_WITH_CATEGORY_UUID,Rack-7,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,kg,3.0,true
DRY CHILLI,Spices & Seasonings,REPLACE_WITH_CATEGORY_UUID,Rack-7,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,kg,5.0,true
K.DRY CHILLI,Spices & Seasonings,REPLACE_WITH_CATEGORY_UUID,Rack-7,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,kg,3.0,true
KIWI CRUSH,Syrups & Concentrates,REPLACE_WITH_CATEGORY_UUID,Rack-8,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,pcs,2.0,true
PINABBLE CRUSH,Syrups & Concentrates,REPLACE_WITH_CATEGORY_UUID,Rack-8,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,pcs,2.0,true
BLUE BERRY CRUSH,Syrups & Concentrates,REPLACE_WITH_CATEGORY_UUID,Rack-8,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,pcs,2.0,true
ROSE ESSENCE,Essences & Flavoring,REPLACE_WITH_CATEGORY_UUID,Rack-8,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,pcs,3.0,true
APPLE CRUSH,Syrups & Concentrates,REPLACE_WITH_CATEGORY_UUID,Rack-8,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,pcs,2.0,true
STRAWBERRY CRUSH,Syrups & Concentrates,REPLACE_WITH_CATEGORY_UUID,Rack-8,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,pcs,3.0,true
BUTTER SCTRATCH CRUSH,Syrups & Concentrates,REPLACE_WITH_CATEGORY_UUID,Rack-8,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,pcs,2.0,true
TENDER COCUNUT,Fresh Ingredients,REPLACE_WITH_CATEGORY_UUID,Rack-8,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,pcs,5.0,true
PASAN FRUIT CRUSH,Syrups & Concentrates,REPLACE_WITH_CATEGORY_UUID,Rack-8,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,pcs,2.0,true
BLUEBERRY CARCO,Syrups & Concentrates,REPLACE_WITH_CATEGORY_UUID,Rack-8,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,pcs,3.0,true
ΜΟΝΙΝ ΜOJITO,Syrups & Concentrates,REPLACE_WITH_CATEGORY_UUID,Rack-8,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,pcs,1.0,true
MANAMA GREEN MOJITO,Syrups & Concentrates,REPLACE_WITH_CATEGORY_UUID,Rack-8,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,pcs,2.0,true
LIME MOJITO,Syrups & Concentrates,REPLACE_WITH_CATEGORY_UUID,Rack-8,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,pcs,2.0,true
GREEN APPLE MAJITO,Syrups & Concentrates,REPLACE_WITH_CATEGORY_UUID,Rack-8,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,pcs,1.0,true
VENIGAR,Vinegar & Acids,REPLACE_WITH_CATEGORY_UUID,Rack-8,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,pcs,5.0,true
ROSE WATER SMALL,Essences & Flavoring,REPLACE_WITH_CATEGORY_UUID,Rack-8,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,pcs,5.0,true
ROSE WATER BIG,Essences & Flavoring,REPLACE_WITH_CATEGORY_UUID,Rack-8,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,pcs,3.0,true
KIWERA,Beverages,REPLACE_WITH_CATEGORY_UUID,Rack-8,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,pcs,3.0,true
TIGER ROSE MIX,Beverages,REPLACE_WITH_CATEGORY_UUID,Rack-8,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,pcs,5.0,true
